head,tail
Q16539,Q9HBH9
P31749,P31946
P17252,P07948
P48729,O14640
P68400,P68400
Q05513,P15976
P24941,P06400
P17252,P06241
Q09472,P16070
Q9H2X6,Q00987
Q9Y6X2,P42224
P24941,P49736
P05412,Q14653
P15531,Q00987
Q9UKC9,Q16526
P49841,P10636
P27361,Q9BV47
Q16512,Q15418
P27361,Q9H2B2
P07948,P17252
Q15418,Q16513
P05771,P06241
P04637,Q9UER7
O60674,O14543
P12643,Q13873
O75376,Q15466
P63104,Q01814
P50750,P30260
Q9H2X6,P04637
O95819,P62834
Q7Z3T8,O75674
Q06609,Q9BXW9
O00512,Q9NQB0
P12004,P38936
Q13042,Q8NHZ8
Q92769,Q15910
P41240,Q16828
Q13586,Q9Y210
O60716,P25054
P41240,P41240
P48736,O00459
Q07817,Q7Z434
O00238,P01137
P53667,Q8TEW0
Q14686,P22736
P31946,Q92574
P56589,Q9Y5Y5
P09874,P07437
Q9UKV8,P06730
P29353,P05067
P07900,P35222
Q9Y297,Q16526
Q15418,Q16512
Q07817,Q07820
Q9Y6D9,Q9Y2I6
P62837,P43403
Q13158,Q14790
O14745,P26038
P46108,Q9H2B2
Q8TEW0,P53667
Q07812,Q9Y371
P62834,O95819
Q12778,Q92574
P04637,Q01105
Q9NQB0,O00512
P06400,P24941
P19838,Q01105
Q9D666,P02545
P62258,Q92574
Q16665,Q9Y6K9
Q9HBH9,Q16539
Q9Y2U5,Q16512
Q99759,Q16513
P01137,P36894
Q14258,O95786
Q14653,P05412
Q07812,P34932
P05111,Q04771
P35222,P07900
P35222,P34932
Q96RE7,Q05516
P25963,Q92785
O60885,P12004
Q7Z434,P46939
Q04771,P08476
P42229,Q8TAE8
P35968,P17948
P01100,P49736
P23769,Q04724
Q13705,P36894
Q9BV47,P27361
P01375,P00533
P36894,P01137
P41240,Q92785
P37023,Q13705
P35916,P49763
Q04759,P63244
Q9BUB5,P45983
Q7L7X3,O60566
Q9BUB5,P04792
P51587,Q06609
P10415,Q96CV9
O00459,P04626
P01112,Q16539
P06400,P84022
P62258,Q01814
P63104,Q92574
Q9Y297,Q49AN0
P63104,P10636
P01100,P21675
Q8N2W9,Q8N2W9
Q13309,Q16526
Q96ST3,P84022
O60716,P35222
P01137,O00238
P15498,P29353
Q9NUX5,Q9NYB0
P35222,P35638
O60716,P14923
P01112,P28482
Q13188,Q9H792
Q9BYP7,P08172
Q9Y3S1,Q8WXH0
P19784,Q92974
Q96S44,P0DMV8
O75914,Q14511
Q15569,P04040
Q8TDX7,Q86UL8
P19784,P12931
Q9P286,P05023
O75914,Q9BR76
P19784,P22681
Q9Y3S1,Q02750
Q04759,Q15599
P19784,P17655
P19784,P04083
P19784,P50281
P19784,Q14155
P19784,P15311
Q92630,P17655
Q9HC98,O00560
P19784,Q96QB1
Q13188,O14974
Q9HC98,P11717
Q04759,Q92974
Q04759,P15529
Q04759,P39019
Q04759,P35372
P19784,P12830
Q92630,Q92542
Q04759,Q00610
P22694,P17813
Q96RR4,P27348
P19784,P06748
P27448,Q02750
P19784,O60674
P19784,P14923
Q9HC98,P04040
Q14004,Q86UL8
Q6P5Z2,Q12959
Q16816,O60716
Q04759,P63000
Q9NQU5,P29350
Q9P286,Q9Y4G8
O75914,P25054
Q9BWU1,Q02750
Q86Z02,P31645
Q9NQU5,P46109
Q9HC98,P62745
Q04759,P17655
Q04759,P51636
P22612,P13861
P19784,P00749
P22694,P06396
Q99558,P30050
Q99558,P26038
Q8TD19,P04040
Q13188,Q15366
O75914,Q8TEW0
P19784,P11021
Q92630,Q12959
P19784,P39019
P22612,P15311
P22694,O00560
Q9NQU5,P0DMV8
Q7L7X3,P15311
Q16816,Q05209
Q92630,P29966
O75914,P0DMV8
P31152,Q9Y4G8
O75914,P18206
Q9NQU5,P04040
P19784,P51636
Q13188,P11717
Q04759,Q12959
P19784,P61978
Q9HC98,P06396
Q92630,Q02750
Q92630,P19022
Q04759,P50570
P19784,Q14161
Q04759,Q9UQB3
Q99558,Q9Y4G8
Q04759,P14923
P19784,P31645
Q9HC98,P08670
P19784,P27348
P19784,Q00610
P19784,O00161
Q04759,Q02750
P19784,P15529
P19784,P28482
Q04759,Q7L0J3
Q9HC98,P31146
Q92630,O00161
Q04759,O75955
P19784,P98082
P19784,P61073
Q9BWU1,Q12959
P21127,P11717
P19784,P84098
Q92630,P12931
Q92630,Q16625
Q9HC98,P18206
Q92630,Q14155
P19784,A0A059VC25
P19784,O15511
P78368,P35372
P19784,Q8WXH0
Q04759,P21333
Q15569,P26038
Q9NYV4,Q14118
Q9UQ88,Q13418
P19784,P19022
Q04759,P28482
P22612,P22681
P22694,P31146
P19784,P11912
Q92630,Q9UQB8
Q96RR4,P11912
Q8N5S9,P22681
Q96RR4,P35372
Q8N5S9,P39019
Q96RR4,P61978
P19784,P08195
Q8N5S9,P61978
P78368,P17655
O14874,P61073
Q8IV63,P51636
Q9NQU5,Q13418
P22694,P05023
P19784,Q16625
Q9NQU5,O60716
P19784,Q92542
Q8N5S9,P06748
P19784,P04792
Q13188,Q92558
Q9BYP7,P63328
Q9BYP7,P46109
Q7L7X3,Q92974
Q13188,Q9BR76
Q13188,P13498
Q13188,Q05209
Q13188,O60716
O14730,O00560
Q04759,Q16625
Q04759,P22681
Q04759,Q14155
Q04759,P61978
Q04759,O15511
Q04759,P27348
P22612,P00749
P22694,Q05209
P22694,P12814
Q6P5Z2,P11021
Q9P286,P18206
O75914,P27361
O75914,Q03135
Q8TD19,P13498
Q8TDX7,P28482
Q9HC98,P46783
Q9HC98,Q05209
Q9HC98,P26038
Q9BUB5,P62280
Q9BUB5,Q14847
Q9BUB5,Q9Y4G8
P27448,P50570
P31152,P05023
Q86Z02,P28482
O00418,P25054
O00418,P49757
Q92630,P22681
Q92630,Q15555
Q92630,P14923
Q92630,Q14161
P19784,Q05513
P19784,O75955
P19784,P23396
P19784,P49918
P19784,Q13546
P19784,P47736
P19784,Q02641
P19784,P20941
P19784,Q92879
P78368,P15311
Q9UQ88,P05023
Q96RR4,P04083
Q96RR4,P06748
Q96RR4,Q14155
Q8N5S9,Q13045
P00519,P23396
P11362,O60716
P54646,P07355
Q9UQM7,Q8WX93
P06239,P08473
P06493,P62491
P00519,P07947
P29320,Q6UVK1
O15530,Q15700
P28482,Q9ULZ3
Q16539,Q15366
Q02156,O15143
P06493,P31645
P42336,P62280
Q00537,Q8TEW0
P17252,P31946
PR:000000104,P04040
P57059,O60716
Q96GD4,P31749
Q14680,Q14155
P06493,P61073
P53778,P35372
Q13627,Q14511
P23443,P27824
Q16539,P41743
Q8IWQ3,P62834
P12931,Q8TEW0
P12931,Q14160
P16591,Q9H3Z4
P17612,P08473
P48730,P04792
O15111,P12931
Q9H2G2,Q13418
P06493,Q9Y6W5
P31751,P28482
Q9UL54,Q16625
P17252,P27361
Q14164,Q16625
Q05655,Q05513
Q05655,P20339
Q9BS79,P10747
P28482,P46939
Q9UQM7,O14786
P06493,Q9Y2J4
P06493,Q8TDM6
Q13464,P27824
O14965,P07948
P12931,P27824
P06493,P61586
Q02750,Q9ULZ3
P08069,P08473
P54762,P17661
Q00536,P78352
P00533,Q9Y698
P28482,P48067
P17612,Q92974
Q8IWU2,O60716
Q05655,P06748
Q05397,Q9UJU6
Q06187,P60953
Q05655,O75581
Q13535,P84098
P08581,P61978
P17252,O43707
O14757,P08670
Q9UIG0,Q15366
P12931,Q00535
O14965,P20339
Q00534,P15311
Q13315,P61073
P23458,P31645
P28482,P42261
Q9NRM7,P27361
P53350,P41743
P49137,P00523
Q05655,Q96NW7
P17612,Q05513
Q9UBE8,Q8TEW0
Q16539,P31946
P17252,P60953
P06493,P05106
Q9Y243,P12931
P48730,P07947
P28482,Q14289
P17612,O14786
P17252,P07737
P23443,P46783
P06241,P05556
Q13315,P11912
P17252,P07332
P68400,P16070
O14757,Q15366
P25098,Q96SB3
Q13177,P11274
P28482,P07900
P24941,P05556
P31749,P13688
Q05655,P04083
O14757,P07332
Q9UQM7,P61978
Q9UQM7,P63010
P17252,P08631
Q9UQM7,Q07157
P53779,O60716
O14757,Q14847
P31749,Q02297
P42685,Q92974
P51955,Q6UVK1
Q13131,Q14676
P68400,Q14344
P33981,Q02750
P06239,P61978
P17612,Q99439
P17252,P63104
P17612,P54764
Q05513,Q9UJU6
P00533,P61764
P05129,P61586
P68400,Q92466
P43250,Q13418
O14757,O43294
P49841,O15117
P12931,Q99836
Q05513,P63101
Q13315,P12830
P00533,P31645
Q13043,P27361
P06493,Q9UQB3
Q15759,O14974
Q13315,Q96NW7
P24941,P36507
P53350,P29350
P12931,O00203
P09619,Q5S007
O75943,P23396
Q6SA08,P35241
P17252,O15143
P28482,P55072
P17252,P10301
Q15139,P15311
P49840,P31645
Q13555,P26038
P11802,P49736
P41743,P21333
P53350,Q14289
P49841,O60674
P09769,P04083
P24941,P57739
P00519,P62491
P31751,P01116
P17612,Q9Y2J4
P49841,P31645
Q96BR1,P04083
P24941,Q02297
P41279,Q92974
P45983,Q14160
P00519,Q14254
P24941,P06702
O14965,O95832
Q9UQM7,P12931
P41279,Q16625
Q13315,P98082
P24941,Q07157
P48729,Q13153
P27361,P54764
Q05513,Q9NQC3
