head,tail
P27361,P51170
P27361,Q13522
P27361,Q96RK0
P27361,P24941
P27361,C9JLW8
P27361,P56270
P27361,P03372
P27361,P49585
P27361,Q2M1Z3
P27361,O95997
P27361,P49023
P27361,P17542
P27361,P17676
P27361,Q16559
P27361,Q9UHB6
P27361,O43561
P27361,Q15366
P27361,P84022
P27361,Q15648
P27361,P43694
P27361,Q9BR01
P27361,Q9NRA0
P27361,Q9UIG0
P27361,P49675
P27361,P10828
P27361,O75581
P27361,P15923
P27361,P31645
P27361,Q05682
P27361,Q12929
P27361,P10415
P27361,Q15596
P27361,P20339
P27361,Q13614
P27361,Q01844
P27361,P05787
P27361,P14598
P27361,Q9UBN7
P27361,Q07869
P27361,Q15831
P27361,Q13541
P27361,P78536
P27361,Q08499
P27361,P46527
P27361,Q14790
P27361,P42702
P27361,Q9UPT5
P27361,P33981
P27361,P29590
P27361,Q9ULC4
P27361,P17861
P27361,P53004
P27361,P55211
P27361,P00533
P27361,Q13950
P27361,P35236
P27361,Q15046
P27361,P16949
P27361,Q92908
P27361,Q969H0
P27361,P15036
P27361,P23443
P27361,O95644
P27361,P02686
P27361,P14784
P27361,P17535
P27361,Q01196
P27361,P37231
P27361,Q9NRF2
P27361,Q8N122
P27361,P49790
P27361,Q12772
P27361,P28698
P27361,P61586
P27361,Q14005
P27361,Q09472
P27361,P35228
P27361,P15056
P27361,Q05469
P27361,P18545
P27361,O60331
P27361,P05412
P27361,P27361
P27361,P63000
P27361,Q05209
P27361,P49407
P27361,Q8WX93
P27361,P15336
P27361,Q13485
P27361,P35568
P27361,P24928
P27361,P33076
P27361,P14921
P27361,Q12800
P27361,Q92934
P27361,P32121
P27361,P07101
P27361,O43521
P27361,O60674
P27361,Q16254
P27361,Q96FF9
P27361,Q8IZP0
P27361,P11388
P27361,Q96Q27
P27361,Q04637
P27361,Q13153
P27361,Q92974
P27361,P42229
P27361,O43524
P27361,Q13362
P27361,P40763
P27361,P17600
P27361,Q02750
P27361,O75582
P27361,P49841
P27361,Q07889
P27361,Q07812
P27361,Q969V6
P05771,P61764
P05771,P28799
P05771,P49768
P05771,P62491
P05771,P10636
P05771,P55042
P05771,Q9UBS0
P05771,P20700
P05771,P30086
P05771,P11171
P05771,P19429
P05771,P49840
P05771,P56537
P05771,O15350
P05771,P14598
P05771,P05107
P05771,P35637
P05771,Q12906
P05771,P11473
P05771,Q9BXL7
P05771,Q9H1D0
P05771,P98082
P05771,P04004
P05771,O95786
P05771,Q99418
P05771,Q05639
P05771,Q9P2D0
P05771,P19484
P05771,P41180
P05771,O15519
P05771,P26010
P05771,P05771
P05771,P35548
P05771,P21730
P05771,Q9Y4H2
P05771,P29353
P05771,P31749
P05771,P07355
P05771,P16949
P05771,Q01844
P05771,P14679
P05771,P43629
P05771,Q5T7P8
P05771,Q9UBU3
P05771,P06730
P05771,Q92686
P05771,P48736
P05771,Q96PH1
Q13555,P00533
Q13555,P21817
Q13555,Q9UQL6
Q13555,P42261
Q13555,Q01970
Q13555,P42224
Q13555,P21333
Q13555,P35270
Q13555,P07101
Q13555,P28329
Q13555,O60266
Q13555,P55042
P00533,Q9UK17
P00533,Q05655
P00533,Q8TDY4
P00533,P14618
P00533,P09211
P00533,P51692
P00533,Q9P0J1
P00533,O60716
P00533,P21860
P00533,P25098
P00533,P04083
P00533,Q92952
P00533,O14828
P00533,Q8IVM0
P00533,P37231
P00533,O75886
P00533,P0DP23
P00533,O15126
P00533,Q96TA1
P00533,P62993
P00533,O14939
P00533,P67775
P00533,Q13315
P00533,P35222
P00533,Q13480
P00533,P61925
P00533,Q8NFJ5
P00533,P15941
P00533,P22681
P00533,P42566
P00533,P29353
P00533,P24844
P00533,P30530
Q13177,Q05682
Q13177,P17600
Q13177,Q04637
Q13177,P31152
Q13177,P01236
Q13177,P35240
Q13177,Q15796
Q13177,P55210
Q13177,Q15746
Q13177,P01106
Q13177,P62805
Q9NYY3,P62258
Q9NYY3,P53350
Q9NYY3,Q969H0
Q9NYY3,O43852
Q9NYY3,Q16143
Q9NYY3,O43166
Q9NYY3,O15350
P45985,P45984
P45985,P19793
P45985,P45983
P45984,Q9UPT6
P45984,P40763
P45984,P01106
P45984,P05412
P45984,P84243
P45984,P55957
P45984,P19793
P45984,P23443
P45984,P15036
P45984,P31645
P45984,Q8WYK2
P45984,Q12968
P45984,P46937
P45984,O95140
P45984,P49768
P45984,Q8IW41
P45984,Q9UQF2
P45984,P63104
P45984,Q9UIG0
P45984,P16949
P45984,P54259
P45984,O43521
P45984,P05067
P45984,O43602
P45984,O00418
P45984,P50616
P45984,P42224
P06493,Q9Y5N6
P06493,P54132
P06493,Q99666
P06493,Q14807
P06493,Q86WB0
P06493,Q8IZP0
P06493,P33316
P06493,Q14493
P06493,Q53EZ4
P06493,Q9BXS6
P06493,Q13415
P06493,P31948
P06493,P30260
P06493,P30101
P06493,Q12778
P06493,Q9H9S0
P06493,O94916
P06493,P0C1Z6
P06493,Q14005
P06493,Q03060
P06493,Q38SD2
P06493,Q14739
P06493,Q8TF76
P06493,O75154
P06493,Q9Y3Z3
P06493,P18858
P06493,P38398
P06493,P46013
P06493,P35611
P06493,O00562
P06493,O15392
P06493,Q96KB5
P06493,Q06413
P06493,P40763
P06493,O15350
P06493,P51587
P06493,Q9NZH5
P06493,A6NKT7
P06493,P35251
P06493,O75122
P06493,P48200
P06493,P30305
P06493,P17302
P06493,O60331
P06493,Q9NZT2
P06493,Q9H1E3
P06493,O15446
P06493,Q9Y6I3
P06493,P82970
P06493,O43683
P06493,Q96Q89
P06493,Q9UNZ2
P06493,P39880
P06493,O95835
P06493,Q9NZJ0
P06493,P27824
P06493,Q5BJF6
P06493,Q9NQX3
P06493,P10412
P06493,O15151
P06493,Q05682
P06493,Q9UJX2
P06493,Q9Y5T5
P06493,Q92574
P06493,P10415
P06493,Q8N122
P06493,O00399
P06493,P50570
P06493,O14974
P06493,P33993
P06493,Q9ULC4
P06493,Q9UPP1
P06493,P43307
P06493,P29590
P06493,Q9UQR0
P06493,P16949
P06493,P24928
P06493,Q96C19
P06493,P49715
P06493,Q6PGQ7
P06493,Q2M2I8
P06493,O94782
P06493,O60701
P06493,Q99728
P06493,Q93045
P06493,P16220
P06493,Q9Y4H2
P06493,Q9HCH0
P06493,P13051
P06493,Q9UHD8
P06493,P11387
P06493,Q12888
P06493,P47736
P06493,Q9UK53
P06493,O43521
P06493,O95251
P06493,Q08379
P06493,Q01167
P06493,O00429
P06493,Q7Z3J3
P06493,P30304
P06493,Q12959
P06493,Q01094
P06493,Q14247
P06493,Q13428
P06493,Q14203
P06493,P17096
P06493,Q02880
P06493,P46060
P06493,P46937
P06493,Q8IZD2
P06493,P49916
P06493,P05412
P06493,Q9BPX3
P06493,Q8WWK9
P06493,P00519
P06493,P20338
P06493,Q16659
P06493,P48681
P06493,Q2NKX8
P06493,O00571
P06493,Q14674
P06493,O75152
P06493,Q13586
P06493,P17706
P06493,O14715
P06493,Q9UJ70
P06493,P22314
P06493,Q15910
P06493,Q06830
P06493,Q96R06
P06493,Q07820
P06493,P54578
P06493,Q14978
P06493,O14773
P06493,O00418
P06493,P21333
P06493,P15172
P06493,Q9GZM8
P06493,P23769
P06493,P05067
P06493,Q96JH7
P06493,O43663
P06493,Q14790
P06493,P31350
P06493,P19338
P06493,P06400
P06493,Q14157
P06493,Q16665
P06493,Q92934
P06493,O14994
P06493,P10636
P06493,Q8TAP9
P06493,Q5FBB7
P06493,Q16513
P06493,P11388
P06493,Q96RL1
P06493,P11171
P06493,Q8IWB6
P06493,Q9BYG3
P06493,Q9H4X1
P06493,P22392
P06493,P14635
P06493,P04637
P06493,P33991
P06493,O60610
P06493,Q99638
P06493,P49792
P06493,Q13541
P06493,Q9UQ35
P06493,Q8IX03
P06493,P52732
P06493,Q14643
P06493,Q8TEM1
P06493,Q02952
P06493,P18031
P06493,Q14244
P06493,Q9UJX5
P06493,O14980
P06493,Q8NHV4
P06493,P10275
P06493,P42166
P06493,P27361
P06493,P26368
P06493,O00311
P31749,P98170
P31749,Q9HBH7
P31749,P09601
P31749,Q06187
P31749,Q99623
P31749,Q7Z6J0
P31749,P29474
P31749,O14757
P31749,O15151
P31749,P60484
P31749,Q96QB1
P31749,P17542
P31749,Q9Y261
P31749,Q9Y2I7
P31749,Q9UBP6
P31749,P49815
P31749,Q99490
P31749,P08727
P31749,O14746
P31749,P19174
P31749,P14598
P31749,P42858
P31749,P38936
P31749,P02545
P31749,P46937
P31749,P05455
P31749,Q9Y3C5
P31749,Q8WX93
P31749,Q16875
P31749,P00533
P31749,P04792
P31749,P67809
P31749,P84022
P31749,Q8NCD3
P31749,Q13370
P31749,P49918
P31749,P48431
