Category	FoldEnrichment 	 Corrected p-value (Benjamini) 	 Raw p-value 	 Term
GOTERM_BP_DIRECT	11.946	0.017280277421955162	0.00022044798357226747	GO:0030518~intracellular steroid hormone receptor signaling pathway	
GOTERM_BP_DIRECT	11.946	0.08434095365371345	0.0021490639687267777	GO:1903055~positive regulation of extracellular matrix organization	
GOTERM_BP_DIRECT	9.955	0.03575752480222429	0.0006180312928779507	GO:1901522~positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	
GOTERM_BP_DIRECT	8.959	8.795928662080537e-07	3.257751356326125e-09	GO:0040029~regulation of gene expression, epigenetic	
GOTERM_BP_DIRECT	8.533	0.06298763892855032	0.0013478836313928462	GO:0035067~negative regulation of histone acetylation	
GOTERM_BP_DIRECT	7.964	0.0017186987753142538	1.4145668932627603e-05	GO:0001836~release of cytochrome c from mitochondria	
GOTERM_BP_DIRECT	7.466	0.0942158497520159	0.002520177050979849	GO:0033173~calcineurin-NFAT signaling cascade	
GOTERM_BP_DIRECT	7.168	0.03708698378985417	0.0006867959961084106	GO:0006476~protein deacetylation	
GOTERM_BP_DIRECT	7.168	0.03708698378985417	0.0006867959961084106	GO:0031065~positive regulation of histone deacetylation	
GOTERM_BP_DIRECT	6.516	0.057062948438008264	0.0011741347415228037	GO:0033554~cellular response to stress	
GOTERM_BP_DIRECT	6.432	0.022781803804132285	0.0003281329766027284	GO:0032703~negative regulation of interleukin-2 production	
GOTERM_BP_DIRECT	5.973	1.6702741031220493e-05	8.248267175911354e-08	GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage	
GOTERM_BP_DIRECT	5.973	0.0005399161747812497	3.555003619958846e-06	GO:0034097~response to cytokine	
GOTERM_BP_DIRECT	5.973	0.03168023107997214	0.000534522417398707	GO:0070534~protein K63-linked ubiquitination	
GOTERM_BP_DIRECT	5.973	0.0810079192918084	0.0018772071752506522	GO:0070932~histone H3 deacetylation	
GOTERM_BP_DIRECT	5.973	0.0810079192918084	0.0018772071752506522	GO:2001243~negative regulation of intrinsic apoptotic signaling pathway	
GOTERM_BP_DIRECT	5.659	0.006790667455182893	6.986283390105857e-05	GO:0045165~cell fate commitment	
GOTERM_BP_DIRECT	5.575	0.043811473323410205	0.0008293529929534442	GO:0030099~myeloid cell differentiation	
GOTERM_BP_DIRECT	5.513	0.00046869502053127756	2.7003005298098295e-06	GO:0032200~telomere organization	
GOTERM_BP_DIRECT	5.376	0.010107132817444905	0.00010814216183274383	GO:0008625~extrinsic apoptotic signaling pathway via death domain receptors	
GOTERM_BP_DIRECT	5.309	1.0668021848337313e-05	4.829145692662981e-08	GO:1902895~positive regulation of pri-miRNA transcription from RNA polymerase II promoter	
GOTERM_BP_DIRECT	5.309	0.024748821147536668	0.0003666492021857284	GO:0045648~positive regulation of erythrocyte differentiation	
GOTERM_BP_DIRECT	5.226	0.05886644847971451	0.0012354686717964774	GO:0070059~intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	
GOTERM_BP_DIRECT	4.919	0.08000576498598315	0.0017779058885774033	GO:2000773~negative regulation of cellular senescence	
GOTERM_BP_DIRECT	4.662	7.016879826057499e-05	3.753886326697427e-07	GO:0071356~cellular response to tumor necrosis factor	
GOTERM_BP_DIRECT	4.646	0.0942158497520159	0.0024835342317682824	GO:0045595~regulation of cell differentiation	
GOTERM_BP_DIRECT	4.595	0.013188646814652332	0.00014794866181908707	GO:0006335~DNA replication-dependent nucleosome assembly	
GOTERM_BP_DIRECT	4.437	0.0016152128217793867	1.2629236055065164e-05	GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process	
GOTERM_BP_DIRECT	4.344	0.06736656002887007	0.0014693118030988121	GO:0033209~tumor necrosis factor-mediated signaling pathway	
GOTERM_BP_DIRECT	4.266	0.02140071279627053	0.0002818200862060317	GO:0032088~negative regulation of NF-kappaB transcription factor activity	
GOTERM_BP_DIRECT	4.155	0.08230784008511356	0.001964549269521229	GO:0060395~SMAD protein signal transduction	
GOTERM_BP_DIRECT	4.119	0.024915040129809368	0.0003793648085608834	GO:0007249~I-kappaB kinase/NF-kappaB signaling	
GOTERM_BP_DIRECT	4.027	7.688891945535057e-09	2.5313224512049574e-11	GO:0042981~regulation of apoptotic process	
GOTERM_BP_DIRECT	3.865	0.021558364863793415	0.00029276791790336734	GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity	
GOTERM_BP_DIRECT	3.832	0.00048155185808643555	2.972542333866886e-06	GO:0006334~nucleosome assembly	
GOTERM_BP_DIRECT	3.733	0.043966634864846595	0.0008503834726945638	GO:0043525~positive regulation of neuron apoptotic process	
GOTERM_BP_DIRECT	3.716	0.004463995644541601	4.408884587201581e-05	GO:0030308~negative regulation of cell growth	
GOTERM_BP_DIRECT	3.707	0.0810079192918084	0.001900185761165876	GO:0060070~canonical Wnt signaling pathway	
GOTERM_BP_DIRECT	3.624	1.041304085935951e-06	4.2852019997364245e-09	GO:0006366~transcription from RNA polymerase II promoter	
GOTERM_BP_DIRECT	3.54	9.968938045865018e-16	1.6409774561094679e-18	GO:0006355~regulation of transcription, DNA-templated	
GOTERM_BP_DIRECT	3.513	0.004439535096862451	4.202029104026188e-05	GO:0001649~osteoblast differentiation	
GOTERM_BP_DIRECT	3.316	5.058622982457889e-25	4.163475705726658e-28	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	
GOTERM_BP_DIRECT	3.299	1.1948441109591772e-24	1.4751161863693546e-27	GO:0006357~regulation of transcription from RNA polymerase II promoter	
GOTERM_BP_DIRECT	3.279	0.01477282438729947	0.00018238054799135149	GO:0010468~regulation of gene expression	
GOTERM_BP_DIRECT	3.235	0.02520558418568967	0.0003941613987885628	GO:0048511~rhythmic process	
GOTERM_BP_DIRECT	3.229	0.09592377801611467	0.002605337180684596	GO:0008584~male gonad development	
GOTERM_BP_DIRECT	3.191	3.209979265848947e-31	1.3209791217485379e-34	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	
