head,rel,tail
P24941,i,P28749
P28482,i,P42858
P12931,i,Q13418
P24941,i,Q86UL8
Q16539,i,Q9HBH9
P31749,i,P31946
Q13976,i,Q14118
P49760,i,P23528
P12931,i,P05771
P45983,i,P17661
P00519,i,Q7L0J3
P49841,i,O14640
P49841,i,P50570
P17252,i,P07948
Q13177,i,P62834
P48729,i,O14640
P68400,i,P68400
Q13153,i,O75955
Q13153,i,Q86UL8
P51812,i,P04040
P17252,i,P30101
P31749,i,O00161
Q16566,i,Q02750
O14757,i,O14974
Q15418,i,P30050
P51812,i,Q16512
P17612,i,P14373
Q9NPI6,i,O00560
P49841,i,Q12959
P05771,i,P62745
P06241,i,P08473
P28482,i,P04040
Q02156,i,Q13418
Q05513,i,P63328
P24941,i,P46527
P06493,i,Q05513
P68400,i,P39019
Q13535,i,P61978
Q9UQM7,i,P07948
P17612,i,P28482
Q09472,i,Q15599
P49674,i,P0DMV8
A0A024R1D8,i,P62745
P45984,i,P28482
P00519,i,P61978
P06493,i,P28482
Q05513,i,P15976
P24941,i,P06400
P06493,i,P54764
Q05513,i,Q9UJU6
P17252,i,P06241
P04626,i,P31146
P17612,i,Q12959
P38936,i,P49736
P14618,i,O60716
P05412,i,P62841
Q09472,i,P16070
Q92466,i,P27361
Q13153,i,Q12959
P48729,i,Q14118
Q9H2X6,i,Q00987
Q13976,i,Q9Y6F6
P43403,i,P28482
A0A173G4P4,i,O00560
P41240,i,P08172
Q05397,i,Q9UK17
P28482,i,P06396
P05771,i,P06396
P54646,i,P27361
Q05397,i,P27361
P68400,i,P19784
P31749,i,P35372
Q86UL8,i,P05023
Q9UHD2,i,P61978
Q08881,i,P04083
O14733,i,Q02750
P06493,i,P04083
Q9Y6X2,i,P42224
P24941,i,P49736
Q8NG31,i,P13861
Q15139,i,P61073
P06493,i,P35222
Q13315,i,P06748
P31749,i,P51809
P09769,i,P19022
P08476,i,Q04771
P06493,i,P24864
P05412,i,Q14653
P06239,i,P28482
P15531,i,Q00987
P54646,i,P60953
P24941,i,Q01094
P05771,i,O00560
Q16539,i,Q15149
Q09472,i,Q15555
O75385,i,Q03135
P17612,i,P51809
Q92793,i,P14921
Q9UKC9,i,Q16526
P49841,i,P10636
P28482,i,P46939
P17612,i,O60674
P31749,i,P61764
P27361,i,P28482
Q15369,i,P61978
Q15118,i,P11021
P49841,i,Q86UL8
P15056,i,P04040
P27361,i,Q9BV47
PR:000027108,i,Q03135
Q06124,i,P31146
P68400,i,P06748
P31749,i,Q92574
Q9NRM7,i,O60716
Q02750,i,O43707
Q15418,i,P04040
P19256,i,P28482
P07949,i,P00533
O14757,i,O43707
Q16539,i,P62745
Q9UPZ9,i,P27361
P28482,i,P62745
P51812,i,Q16513
P03247,i,P55196
O00141,i,P19022
P24941,i,P05106
P24723,i,P06396
P28482,i,O00571
Q9HBH9,i,O75955
O14936,i,P50570
P00533,i,O14786
Q05655,i,Q86UL8
P17612,i,Q05513
P54646,i,P0DMV8
Q08881,i,P61764
Q16584,i,P30050
Q05655,i,P28482
Q07817,i,P06396
P25098,i,Q9Y4G8
P06493,i,O75955
O14920,i,P17655
Q16512,i,Q15418
P27361,i,Q9H2B2
P28482,i,Q13418
P48730,i,P50570
P31751,i,P31645
O75582,i,Q86UL8
P51812,i,P31146
A0A173G4P4,i,P00523
P05771,i,P18206
P48729,i,P0DMV8
Q13257,i,P27361
P17612,i,P50570
P54646,i,Q14289
P49841,i,P63104
O00459,i,P48736
P28482,i,Q9Y4G8
P07900,i,P61978
P00519,i,Q12959
Q13237,i,P35372
Q5S007,i,P31146
P06241,i,P13688
P06241,i,P17252
